PPFD,CO2,T,Pn
1100,800,32,21.22847404
1000,800,32,20.11586805
900,800,32,19.39533058
800,800,32,18.06719555
700,800,32,17.63774044
600,800,32,16.72366163
500,800,32,14.47184096
400,800,32,12.59767458
300,800,32,10.5374298
200,800,32,6.431923021
100,800,32,3.430484465
50,800,32,1.036193069
20,800,32,-0.634147263
0,800,32,-1.641825394
1900,600,32,21.67684302
1700,600,32,20.67086891
1500,600,32,19.39050797
1300,600,32,18.39846218
1100,600,32,17.4322999
1000,600,32,16.99601478
900,600,32,16.47716697
800,600,32,15.94210207
700,600,32,14.94967854
600,600,32,14.63149116
500,600,32,12.11356874
400,600,32,11.12172378
300,600,32,8.88905024
200,600,32,5.985219751
100,600,32,2.295511545
50,600,32,0.971957919
20,600,32,-0.576844593
0,600,32,-1.660997278
1900,400,32,16.71320216
1700,400,32,16.12797911
1500,400,32,15.73518343
1300,400,32,15.28814297
1100,400,32,14.20187501
1000,400,32,13.0457573
900,400,32,12.53301692
800,400,32,12.69240094
700,400,32,11.93890937
600,400,32,10.90757312
500,400,32,10.02105237
400,400,32,9.42323312
300,400,32,6.517030744
200,400,32,5.623279305
100,400,32,1.848603408
50,400,32,0.755275189
20,400,32,-0.657337452
0,400,32,-1.723693473
1900,200,32,8.770276245
1700,200,32,8.677067164
1500,200,32,8.755977326
1300,200,32,8.576985883
1100,200,32,8.487505095
1000,200,32,7.354916977
900,200,32,7.230079586
800,200,32,7.999185715
700,200,32,7.871235929
600,200,32,7.540604239
500,200,32,7.121659236
400,200,32,6.621178016
300,200,32,5.657661444
200,200,32,3.993213835
100,200,32,2.626213533
50,200,32,0.340123643
20,200,32,-0.836042164
0,200,32,-1.696718778
1900,0,32,-2.941831237
1700,0,32,-2.884023302
1500,0,32,-2.812798405
1300,0,32,-2.779071712
1100,0,32,-2.745097096
1000,0,32,-2.76638363
900,0,32,-2.737193913
800,0,32,-2.727681342
700,0,32,-2.672628775
600,0,32,-2.634043002
500,0,32,-2.645295571
400,0,32,-2.673189962
300,0,32,-2.592840056
200,0,32,-2.457077001
100,0,32,-2.38326936
50,0,32,-2.098320357
20,0,32,-1.761064774
0,0,32,-1.611940624
1900,2200,30,40.29645332
1700,2200,30,39.8881154
1500,2200,30,37.39339419
1300,2200,30,35.12186695
1100,2200,30,33.73564386
1000,2200,30,31.95539606
900,2200,30,31.0388273
800,2200,30,30.6434506
700,2200,30,28.74684898
600,2200,30,27.37658689
500,2200,30,23.83995745
400,2200,30,20.87301308
300,2200,30,15.79698945
200,2200,30,10.57432178
100,2200,30,4.160192763
50,2200,30,0.574217767
20,2200,30,-0.760291386
0,2200,30,-1.715874748
1900,1900,30,38.58245046
1700,1900,30,37.14573138
1500,1900,30,36.30359042
1300,1900,30,34.82643418
1100,1900,30,34.21272133
1000,1900,30,33.4091446
900,1900,30,32.98039558
800,1900,30,30.56820467
700,1900,30,29.11075489
600,1900,30,27.12316524
500,1900,30,25.28356813
400,1900,30,20.54561745
300,1900,30,17.487803
200,1900,30,12.9447391
100,1900,30,4.254695549
50,1900,30,0.218121908
20,1900,30,-1.166661559
0,1900,30,-2.136644938
1900,1600,30,38.62741993
1700,1600,30,37.25657187
1500,1600,30,36.49056707
1300,1600,30,34.63267632
1100,1600,30,33.6555069
1000,1600,30,33.91949977
900,1600,30,32.71152561
800,1600,30,31.4681955
700,1600,30,29.25887216
600,1600,30,27.30196571
500,1600,30,24.27545753
400,1600,30,20.04697803
300,1600,30,16.10712319
200,1600,30,10.60584484
100,1600,30,4.211119478
50,1600,30,0.015102714
20,1600,30,-1.182221201
0,1600,30,-2.231383468
1900,1300,30,36.1634144
1700,1300,30,35.78388219
1500,1300,30,34.80201512
1300,1300,30,33.50197216
1100,1300,30,32.46752365
1000,1300,30,31.03901047
900,1300,30,30.06745346
800,1300,30,29.13510559
700,1300,30,28.44577981
600,1300,30,26.12996922
500,1300,30,23.33388867
400,1300,30,20.84595051
300,1300,30,15.34819846
200,1300,30,10.38062669
100,1300,30,4.209710596
50,1300,30,1.030584996
20,1300,30,0.21877758
0,1300,30,-2.052924942
1900,1000,30,32.30977869
1700,1000,30,29.95274821
1500,1000,30,29.75895311
1300,1000,30,28.24947843
1100,1000,30,25.52246777
1000,1000,30,25.04940818
900,1000,30,24.53668232
800,1000,30,21.92673548
700,1000,30,20.29554998
600,1000,30,18.63988872
500,1000,30,17.04765401
400,1000,30,14.31052907
300,1000,30,11.13740642
200,1000,30,9.669794672
100,1000,30,4.631731439
50,1000,30,1.046386451
20,1000,30,-0.553236015
0,1000,30,-1.63658702
1900,800,30,26.36874523
1700,800,30,24.91179234
1500,800,30,24.25195986
1300,800,30,23.58967445
1100,800,30,21.57229095
1000,800,30,20.78927271
900,800,30,19.33915947
800,800,30,18.23060744
700,800,30,17.27277923
600,800,30,17.00688193
500,800,30,15.10533694
400,800,30,12.79636319
300,800,30,10.13805345
200,800,30,6.725162638
100,800,30,2.791322451
50,800,30,0.765061436
20,800,30,-0.296505267
0,800,30,-1.425735103
1900,600,30,21.20675942
1700,600,30,20.01727259
1500,600,30,19.58320969
1300,600,30,18.44057936
1100,600,30,17.66745198
1000,600,30,17.40308071
900,600,30,16.88821551
800,600,30,16.29665367
700,600,30,15.55151364
600,600,30,14.66828351
500,600,30,12.31647877
400,600,30,11.50154829
300,600,30,9.204648649
200,600,30,6.11447465
100,600,30,2.484822205
50,600,30,0.519387773
20,600,30,-0.557002341
0,600,30,-1.353330841
1900,400,30,16.92637565
1700,400,30,16.81820369
1500,400,30,16.05099523
1300,400,30,15.90224771
1100,400,30,14.79398201
1000,400,30,13.56054863
900,400,30,12.42001601
800,400,30,12.98261933
700,400,30,11.6157402
600,400,30,10.80354392
500,400,30,10.13260186
400,400,30,9.47473056
300,400,30,6.430680693
200,400,30,5.570314476
100,400,30,1.801869531
50,400,30,0.565403648
20,400,30,-0.426169701
0,400,30,-1.171364789
1900,200,30,9.669374786
1700,200,30,8.671518291
1500,200,30,8.66730267
1300,200,30,8.669719148
1100,200,30,8.648097929
1000,200,30,7.638682481
900,200,30,7.573993326
800,200,30,7.563559359
700,200,30,7.404914864
600,200,30,7.24707008
500,200,30,6.934629513
400,200,30,6.427451122
300,200,30,5.25908793
200,200,30,4.614809126
100,200,30,2.39358751
50,200,30,0.271237386
20,200,30,-0.395433464
0,200,30,-1.150066652
1900,0,30,-0.629132204
1700,0,30,-0.695602637
1500,0,30,-0.578996385
1300,0,30,-0.623876577
1100,0,30,-0.602089244
1000,0,30,-0.658064133
900,0,30,-0.625437934
800,0,30,-0.625372321
700,0,30,-0.581595187
600,0,30,-0.553393565
500,0,30,-0.724261686
400,0,30,-0.788551455
300,0,30,-0.936500562
200,0,30,-1.012331338
100,0,30,-1.175256841
50,0,30,-1.27200708
20,0,30,-1.358013399
0,0,30,-1.452188789
1900,2200,28,40.0250643
1700,2200,28,39.1706892
1500,2200,28,37.05345326
1300,2200,28,35.64488488
1100,2200,28,33.0171971
1000,2200,28,32.01044075
