label,t_min,co2_ppm,t_air,rh,uBoil,uCO2,uLamp,uVent,lamp_kwh_step,heat_kwh_step,Pn_gross_ch2o,Pn_net_co2,resp_growth,resp_maint,parCan,fruit_growth_dm,profit,elec_cost,heat_cost,lamp_kwh_cum,heat_kwh_cum,energy_kwh_cum,Pn_cum_co2_mg_m2
eco RB,3405.0,1026.9005126953125,17.975727081298828,88.298828125,0.9999999999934643,0.9945641618228545,1.0,6.535662544493448e-08,0.029,0.03249999999978759,0.6556814547244759,0.7096742838668226,0.12061088959550813,0.051201743413188186,304.7949697293452,250.43309933380806,-0.006803154576543289,0.0087,0.002925,0.29000000000000004,3.046131035881394,3.336131035881394,39338.145317879294
eco RB,3420.0,956.211181640625,19.409412384033203,90.1306381225586,0.012350848440577902,8.394127188509528e-12,1.0,0.0004353935603064991,0.029,0.0004014025743187818,0.6710123779924603,0.7283137253695932,0.12317720558655215,0.05125764078980141,316.8875062120211,256.75747982139,-0.0024159421142930853,0.0087,3.612623296212405e-05,0.31900000000000006,3.0465324384557126,3.3655324384557126,39993.627670711925
eco RB,3435.0,837.3142700195312,19.384536743164062,91.78474426269531,2.3032967381926006e-08,5.643517097181803e-09,1.0,0.01256095572043402,0.029,7.485714399125952e-10,0.6504765263779908,0.6960345870424546,0.1245693372526101,0.05133816054146824,316.24459440249524,260.8631075220328,-0.002278754351370909,0.0087,6.737143003476831e-11,0.3480000000000001,3.046532439204284,3.3945324392042844,40620.05879905014
eco RB,3450.0,473.0937194824219,14.334087371826172,88.96440887451172,2.896349499495821e-08,0.0003215803463211155,1.0,0.21122748592223967,0.029,9.41313587336142e-10,0.5360947705667318,0.5292879109865262,0.12389874423730494,0.05131791131304892,309.5751921353325,261.68716689082794,-0.0022589039562748176,0.0087,8.471822203759417e-11,0.3770000000000001,3.0465324401455978,3.423532440145598,41096.41791893801
eco RB,3465.0,820.3108520507812,17.893423080444336,88.83011627197266,0.9999999999997831,0.9999999999916103,1.0,2.16945261755086e-09,0.029,0.03249999999999295,0.6220494284823426,0.6546312611538249,0.12442179482722773,0.051288144971798885,302.90413307518463,261.0317705240741,-0.0065496025717151005,0.0087,0.002925,0.40600000000000014,3.079032440145591,3.485032440145591,41685.586053976454
eco RB,3480.0,762.968994140625,19.205049514770508,91.04297637939453,0.02599396572774793,0.0015377906287710138,1.0,0.0011576725025440424,0.029,0.0008448038861518076,0.5997386689766453,0.6212885855488407,0.12479667310856309,0.051336149257758076,296.2335732473904,262.26849269906234,-0.0023222685463582336,0.0087,7.603234928101301e-05,0.43500000000000016,3.0798772440317426,3.5148772440317426,42244.745780970414
eco RB,3495.0,660.489013671875,17.319896697998047,92.03272247314453,1.5128761577428119e-07,0.23245561829579653,1.0,0.06392884574350131,0.029,4.916847512664139e-09,0.5609450473662223,0.5644628079374926,0.12471120278342929,0.05137284568777073,287.2436252755407,262.5996693481866,-0.00254982365679693,0.0087,4.4251629560676523e-10,0.4640000000000002,3.07987724894859,3.54387724894859,42752.76230811416
eco RB,3510.0,590.0070190429688,13.107889175415039,86.99232482910156,0.8400796479233155,0.9997373074944055,1.0,0.2971839520609158,0.029,0.02730258855750775,0.525355400183943,0.5162694982890266,0.12206372088336732,0.0512897546094639,277.21613475926796,258.8093758685718,-0.006136186076736865,0.0087,0.002457233020663261,0.4930000000000002,3.1071798375060977,3.600179837506098,43217.40485657428
eco RB,3525.0,937.9737548828125,17.056434631347656,86.75873565673828,1.0,0.9999996016337275,1.0,2.708944180085382e-14,0.029,0.0325,0.5723135692442405,0.5832954422509365,0.12339374721585776,0.05121839086435017,267.1862804057034,257.9885196451505,-0.006624512799317017,0.0087,0.002925,0.5220000000000002,3.139679837506098,3.661679837506098,43742.370754600124
eco RB,3540.0,886.2673950195312,18.599042892456055,87.85448455810547,0.9834616197775675,3.027228857388833e-08,1.0,2.5525654091133335e-05,0.029,0.031962502642770944,0.5471242766504077,0.5466645765503978,0.12316853920724037,0.05122989610658706,257.1215431550577,259.31836528932035,-0.005193403975326792,0.0087,0.002876625233888626,0.5510000000000003,3.171642340148869,3.722642340148869,44234.368873495485
eco RB,3555.0,827.0120849609375,20.02655029296875,89.086181640625,4.016185466048703e-05,3.5424080965676424e-06,1.0,0.00019209143285251604,0.029,1.3052602764658284e-06,0.6232864038968964,0.6570248513676492,0.12401164054323326,0.051303281370374355,302.2214935977463,260.054186630412,-0.0022987884309321497,0.0087,1.1747342969101736e-07,0.5800000000000003,3.1716436454091452,3.7516436454091453,44825.691239726366
eco RB,3570.0,754.5746459960938,21.744728088378906,90.20796203613281,7.830611292676318e-11,0.0008301451223105087,1.0,0.0018541494356879521,0.029,2.5449486701198036e-12,0.7303725684346519,0.811649775197918,0.12553057947256582,0.05144442433426298,370.6473625416453,262.65519822716305,-0.002235761970583495,0.0087,2.290453764153266e-13,0.6090000000000003,3.1716436454116903,3.7806436454116907,45556.17603740449
eco RB,3585.0,801.875,23.338661193847656,90.92124938964844,1.0497560182731398e-17,0.3961949887375322,1.0,0.014455436646624388,0.029,3.4117070593877045e-19,0.8620726443073744,1.0028605178839738,0.12664698532863009,0.051657135636199975,439.08606835525393,265.2725985512079,-0.0027050762012464794,0.0087,3.0705364628437625e-20,0.6380000000000003,3.1716436454116903,3.8096436454116906,46458.750503500065
eco RB,3600.0,634.993896484375,24.123815536499023,91.2229995727539,4.419304133332824e-24,0.008343756708646566,0.9999999999948797,0.051751092985242234,0.028999999999851513,1.4362738433331679e-25,0.9104172203243446,1.0725508444847276,0.12720591988272353,0.05192664613043267,507.9221781119856,266.5648703974439,-0.0021496672623425436,0.0087,1.2926464504138443e-26,0.6669999999998518,3.1716436454116903,3.8386436454115422,47424.04626353632
eco RB,3615.0,775.0013427734375,22.766265869140625,90.60530853271484,3.196942170477884e-27,0.9999748957491608,0.9999902157804359,0.11737903720133559,0.028999716257632643,1.0390062054053123e-28,0.9816349243680982,1.175449734664214,0.128002936113136,0.0521890009184882,516.5898994403409,268.10472492023837,-0.003450380158679417,0.008699914956092835,9.351055967686122e-30,0.6959997162574845,3.1716436454116903,3.8676433616691748,48481.95102473412
eco RB,3630.0,678.2972412109375,24.862838745117188,91.2822036743164,8.608700907109513e-22,0.09089864337857487,0.9999999999999998,0.02959347453597101,0.028999999999999995,2.797827794810592e-23,0.9212097424902134,1.086308456605771,0.12808180465724783,0.0524630935980836,501.88073189076704,268.85140701151977,-0.0022048323766367794,0.0087,2.5180448879409736e-24,0.7249997162574845,3.1716436454116903,3.8966433616691747,49459.62863567931
eco RB,3645.0,622.7928466796875,17.075773239135742,86.54532623291016,3.537088209835081e-30,0.9986469785790455,0.11119796092895953,0.42169332827774103,0.003224740866939826,1.1495536681964012e-31,0.6465669502316799,0.6819520754873233,0.12900974466180726,0.0525898892473262,344.3530409185314,271.03261029061105,0.00435597624874853,0.0009674222812056541,1.034598263511541e-32,0.7282244571244243,3.1716436454116903,3.8998681025361144,50073.3855036179
eco RB,3660.0,947.0689697265625,23.19371795654297,86.00083923339844,0.9803007225523384,0.9999918395770272,1.0,1.722901743144577e-05,0.029,0.03185977348295099,0.9567288444570938,1.1366279794009966,0.1290251488523509,0.052730086408616886,472.5054178789016,271.3829433017818,-0.00623717306787363,0.0087,0.002867379619181156,0.7572244571244243,3.203503418894641,3.9607278760190656,51096.350685078796
eco RB,3675.0,828.5593872070312,24.765880584716797,90.75999450683594,1.6792881021245177e-23,1.309909312711014e-08,0.9999999999996454,0.015381081498222772,0.028999999999989715,5.457686331904683e-25,0.8731699227596534,1.01352129839487,0.1291452413016884,0.05298744425380086,440.6752906648545,271.0875571186334,-0.002027075534763569,0.0087,4.9119177665193835e-26,0.786224457124414,3.203503418894641,3.9897278760190553,52008.51985363418
eco RB,3690.0,474.75390625,17.363922119140625,88.83126068115234,8.639312404223984e-30,0.0007199581390879145,0.4273860155929906,0.3684014493271492,0.012394194452196727,2.8077765313727947e-31,0.5362614461774059,0.5181495130941947,0.12987311193798295,0.05310458129376558,310.4309292873258,272.87436936314043,0.0029976772738523477,0.003718258336186409,2.526998897594328e-32,0.7986186515766107,3.203503418894641,4.002122070471252,52474.85441541895
eco RB,3705.0,818.4893188476562,21.581340789794922,88.88614654541016,0.7778737099475613,0.999999999990224,1.0,0.0011601085838075685,0.029,0.025280895573295745,0.7350119744776684,0.8094010852326048,0.12995323423042077,0.05319437329708536,364.2450111396963,273.21055451381835,-0.005600097677232697,0.0087,0.002275280557572842,0.8276186515766107,3.228784314467937,4.056402966044548,53203.315392128294
eco RB,3720.0,760.9213256835938,22.809415817260742,91.9841537475586,4.727572761768755e-17,0.0018181680820894954,1.0,0.0012834035095824602,0.029,1.5364611475748454e-18,0.652888210436038,0.68839535786899,0.130161442115923,0.053366304993549135,325.92929797306147,273.41763131230255,-0.0019721743715464023,0.0087,1.38281503867036e-19,0.8566186515766108,3.228784314467937,4.085402966044548,53822.87121421038
eco RB,3735.0,549.6000366210938,17.028621673583984,90.10588073730469,5.785411873390219e-22,0.2677833740495411,0.9999999999999998,0.27884012356888066,0.028999999999999995,1.880258858851821e-23,0.5458148454226115,0.5310281018835603,0.13031175239298243,0.053438484239909816,297.199913036991,274.0402298525587,-0.0023159018964431467,0.0087,1.6922330020699575e-24,0.8856186515766108,3.228784314467937,4.114402966044548,54300.796505905586
eco RB,3750.0,886.8458862304688,19.350048065185547,89.39010620117188,0.987151068604406,0.9999999903616469,1.0,0.01200781519478352,0.029,0.0320824097296432,0.575710039769397,0.5748153649164142,0.1303300825806213,0.05346039683673967,271.7157184784109,273.9926176343579,-0.006192983262670727,0.0087,0.00288741692751646,0.9146186515766108,3.26086672419758,4.1754853757741905,54818.13033433036
eco RB,3765.0,835.8115844726562,19.83034324645996,91.36605834960938,3.979274932155668e-08,3.358622926676901e-06,1.0,0.0032408823597951447,0.029,1.2932643529505922e-09,0.5191520970173573,0.4916860385516433,0.13038792534635105,0.053523696517013726,246.22696669540684,274.0916587772517,-0.001953133049863976,0.0087,1.1639378980632386e-10,0.9436186515766108,3.2608667254908443,4.2044853770674555,55260.64776902684
eco RB,3780.0,621.8148193359375,16.46832275390625,91.46375274658203,4.771202189610119e-10,0.0003692991558623647,1.0,0.11019168135616585,0.029,1.5506407116232887e-11,0.4346920723510814,0.36812700569618007,0.1301692216126733,0.05352716928661175,220.34222822932463,273.9404188130866,-0.001957349784457589,0.0087,1.3955766792195233e-12,0.9726186515766109,3.2608667255063506,4.233485377082961,55591.9620741534
eco RB,3795.0,783.54638671875,15.786163330078125,88.0819320678711,0.9999253107744448,0.9999925425294452,1.0,0.12911045189569145,0.029,0.03249757260016946,0.5027244205361721,0.46850206543463524,0.12982502089971296,0.05346617861276016,241.56572290620505,273.0026432208979,-0.0062547064253039505,0.0087,0.002924781547486782,1.0016186515766108,3.29336429810652,4.29498294968313,56013.61393304457
eco RB,3810.0,758.5482788085938,19.105791091918945,87.3141098022461,0.9999998604740713,0.043532079687678374,1.0,0.00029201838077270493,0.029,0.032499995465407314,0.5659076764393007,0.5608743610294024,0.13003528522629848,0.05345806062297531,277.84487436071583,273.16615950544656,-0.004959677880459035,0.0087,0.0029249996513128276,1.0306186515766107,3.3258642935719274,4.356482945148538,56518.400857971035
eco RB,3825.0,830.03271484375,21.11014175415039,89.24788665771484,3.7742739088791247e-07,0.3127440906733036,1.0,7.09991890076558e-05,0.029,1.2266390203857156e-08,0.646577030499214,0.6789106934080281,0.13013467115264243,0.05354871258843081,314.129099354529,273.4238247345638,-0.0023917730045018163,0.0087,1.1039751385055752e-09,1.0596186515766106,3.3258643058383175,4.385482957414928,57129.42048203826
eco RB,3840.0,762.4371337890625,22.485979080200195,90.91220092773438,3.62606091123361e-15,0.0006286591915739216,1.0,0.002495898342925729,0.029,1.1784697961509234e-16,0.698813661992912,0.7550310311809133,0.13031219089808838,0.05370759491582216,351.11267414873976,273.6194686755771,-0.001965600230227853,0.0087,1.060622784819612e-17,1.0886186515766105,3.3258643058383175,4.414482957414928,57808.94841010108
eco RB,3855.0,731.0067749023438,19.688169479370117,94.08331298828125,1.1378397970177467e-20,0.24131196748233105,0.0,0.050938997333978796,0.0,3.6979793403076774e-22,0.3449986647901098,0.23554858032769058,0.13057408896696837,0.05382327377374555,164.95215491212664,274.22252250828024,0.0064243217057888755,0.0,3.328181304627956e-23,1.0886186515766105,3.3258643058383175,4.414482957414928,58020.942132396005
eco RB,3870.0,487.61962890625,10.74170970916748,85.17950439453125,1.767356147056486e-09,0.8518691360905454,0.0,0.9486603501298195,0.0,5.743907477933581e-11,0.23506459031526153,0.09809339813470119,0.1145284538491533,0.053654275234059016,121.30395930085437,251.5626429128606,0.0050422879114980276,0.0,5.169516739678137e-12,1.0886186515766105,3.3258643058957564,4.414482957472367,58109.226190717236
