# Start @ 2025-09-10 12:00:36 test
time,update_type,device,on,brightness,apower,voltage,current
2025-09-10T13:12:22.069757,RpcUpdateType.STATUS,Blue,True,4.0,2.4,246.1,0.0
2025-09-10T13:12:23.255004,RpcUpdateType.STATUS,Blue,True,4.0,2.4,246.1,0.038
2025-09-10T13:12:23.255164,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.038
2025-09-10T13:12:23.255234,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T13:12:34.391211,RpcUpdateType.STATUS,Blue,True,4.0,2.5,246.1,0.0
2025-09-10T13:12:34.398576,RpcUpdateType.STATUS,Blue,True,4.0,2.5,246.1,0.029
2025-09-10T13:12:35.419118,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.029
2025-09-10T13:12:35.427591,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:13:00.054929,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:13:00.086897,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:14:00.037232,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:14:00.089113,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:15:00.031966,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:15:00.089574,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:16:00.029980,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:16:00.121214,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:17:00.026316,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:17:00.089356,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:18:00.024721,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:18:00.078564,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:19:00.022032,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:19:00.075149,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:20:00.023959,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:20:00.081239,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:21:00.030036,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:21:00.198185,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:22:00.014676,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:22:00.078850,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T13:22:43.989914,RpcUpdateType.STATUS,Blue,True,4.0,3.3,246.1,0.054
2025-09-10T13:22:44.893144,RpcUpdateType.STATUS,Blue,True,4.0,1.9,246.1,0.054
2025-09-10T13:22:45.923861,RpcUpdateType.STATUS,Blue,True,4.0,5.5,246.1,0.054
2025-09-10T13:22:58.249601,RpcUpdateType.STATUS,Blue,True,4.0,4.5,246.1,0.054
2025-09-10T13:23:00.033467,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:23:00.074737,RpcUpdateType.STATUS,Blue,True,4.0,4.5,246.1,0.054
2025-09-10T13:23:15.722999,RpcUpdateType.STATUS,Blue,True,4.0,2.7,246.1,0.054
2025-09-10T13:23:17.795359,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.054
2025-09-10T13:23:17.848013,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T13:23:36.342224,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.0
2025-09-10T13:23:36.419817,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.055
2025-09-10T13:23:49.643066,RpcUpdateType.STATUS,Blue,True,4.0,3.4,246.1,0.055
2025-09-10T13:23:50.670467,RpcUpdateType.STATUS,Blue,True,4.0,4.7,246.1,0.055
2025-09-10T13:24:00.006098,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:24:00.064356,RpcUpdateType.STATUS,Blue,True,4.0,4.7,246.1,0.055
2025-09-10T13:25:00.002906,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:25:00.062822,RpcUpdateType.STATUS,Blue,True,4.0,4.7,246.1,0.055
