PPFD,CO2,T,R:B,Pn_avg,count
800.0,800.0,18.0,0.5,13.717895392362106,1
1000.0,800.0,18.0,0.5,14.17012894401674,1
0.0,800.0,18.0,0.75,-0.3455008825009637,3
50.0,800.0,18.0,0.75,2.554371094157074,3
100.0,800.0,18.0,0.75,4.813409124884294,3
200.0,800.0,18.0,0.75,8.627677554286675,3
300.0,800.0,18.0,0.75,10.852060721478539,3
400.0,800.0,18.0,0.75,11.952230287113906,3
500.0,800.0,18.0,0.75,12.359452942184271,3
600.0,800.0,18.0,0.75,12.641014471493174,3
800.0,800.0,18.0,0.75,13.002533964261476,3
1000.0,800.0,18.0,0.75,13.221325848415887,3
0.0,800.0,18.0,0.83,-0.3440840686653601,3
50.0,800.0,18.0,0.83,2.7691110490027264,3
100.0,800.0,18.0,0.83,5.456638732939058,3
200.0,800.0,18.0,0.83,10.321423598666636,3
300.0,800.0,18.0,0.83,13.449405496133187,3
400.0,800.0,18.0,0.83,14.883354890905247,3
500.0,800.0,18.0,0.83,15.473625123890079,3
600.0,800.0,18.0,0.83,15.85083627345197,3
800.0,800.0,18.0,0.83,16.468459457246365,3
1000.0,800.0,18.0,0.83,16.847738856271448,3
0.0,800.0,18.0,0.88,-0.2910557173128784,1
50.0,800.0,18.0,0.88,3.0328285789874236,1
100.0,800.0,18.0,0.88,5.9807380275974245,1
200.0,800.0,18.0,0.88,10.4915409429653,1
300.0,800.0,18.0,0.88,12.9231355661688,1
400.0,800.0,18.0,0.88,13.798048772766345,1
500.0,800.0,18.0,0.88,14.449520458800976,1
600.0,800.0,18.0,0.88,15.114147535860685,1
800.0,800.0,18.0,0.88,15.71683551064526,1
1000.0,800.0,18.0,0.88,16.231941382569307,1
0.0,800.0,18.0,1.0,-0.2157877182415647,1
50.0,800.0,18.0,1.0,2.993929137983109,1
100.0,800.0,18.0,1.0,5.92500961484878,1
200.0,800.0,18.0,1.0,10.27983928749412,1
300.0,800.0,18.0,1.0,12.504995738417632,1
400.0,800.0,18.0,1.0,13.620803709950184,1
500.0,800.0,18.0,1.0,14.215163120682384,1
600.0,800.0,18.0,1.0,14.586950694684704,1
800.0,800.0,18.0,1.0,15.36372630761318,1
1000.0,800.0,18.0,1.0,16.03239589486209,1
0.0,800.0,20.0,0.5,-0.42747535565311284,3
50.0,800.0,20.0,0.5,2.3484554746380737,3
100.0,800.0,20.0,0.5,4.564733087796508,3
200.0,800.0,20.0,0.5,8.400372190885845,3
300.0,800.0,20.0,0.5,11.039791828908243,3
400.0,800.0,20.0,0.5,12.77854016893447,3
500.0,800.0,20.0,0.5,13.770955947820937,3
600.0,800.0,20.0,0.5,14.518857098362119,3
800.0,800.0,20.0,0.5,15.66404585300608,3
1000.0,800.0,20.0,0.5,16.374454049624752,3
0.0,800.0,20.0,0.75,-0.3374958151908551,1
50.0,800.0,20.0,0.75,2.564356853749517,1
100.0,800.0,20.0,0.75,5.137613262242049,1
200.0,800.0,20.0,0.75,9.349587629347509,1
300.0,800.0,20.0,0.75,11.934554403106429,1
400.0,800.0,20.0,0.75,13.264224444450669,1
500.0,800.0,20.0,0.75,14.126415517271637,1
600.0,800.0,20.0,0.75,14.79315841371512,1
800.0,800.0,20.0,0.75,15.514691739754229,1
1000.0,800.0,20.0,0.75,15.940969404800711,1
0.0,800.0,20.0,0.83,-0.290882148799784,2
50.0,800.0,20.0,0.83,2.6618832738388214,2
100.0,800.0,20.0,0.83,5.334314073100931,2
200.0,800.0,20.0,0.83,10.034840610961702,2
300.0,800.0,20.0,0.83,13.349515578644967,2
400.0,800.0,20.0,0.83,15.051620042859572,2
500.0,800.0,20.0,0.83,16.196431375781337,2
600.0,800.0,20.0,0.83,16.998220808743184,2
800.0,800.0,20.0,0.83,17.977736728914596,2
1000.0,800.0,20.0,0.83,18.495465790177327,2
0.0,800.0,20.0,0.88,-0.2540820651653227,1
50.0,800.0,20.0,0.88,3.08616310582629,1
100.0,800.0,20.0,0.88,6.091827652964277,1
200.0,800.0,20.0,0.88,11.194265785662015,1
300.0,800.0,20.0,0.88,14.273382989678982,1
400.0,800.0,20.0,0.88,15.771324167223248,1
500.0,800.0,20.0,0.88,16.19908936212872,1
600.0,800.0,20.0,0.88,16.700882654279216,1
800.0,800.0,20.0,0.88,17.386097087825448,1
1000.0,800.0,20.0,0.88,17.86397580521077,1
0.0,800.0,20.0,1.0,-0.1941626567538406,1
50.0,800.0,20.0,1.0,2.9574689947703123,1
100.0,800.0,20.0,1.0,5.892468559883222,1
200.0,800.0,20.0,1.0,10.624258556252729,1
300.0,800.0,20.0,1.0,13.601996056687929,1
400.0,800.0,20.0,1.0,14.840544227655428,1
500.0,800.0,20.0,1.0,15.668432911306413,1
600.0,800.0,20.0,1.0,16.045671547117422,1
800.0,800.0,20.0,1.0,16.694135912393186,1
1000.0,800.0,20.0,1.0,16.852912453303496,1
0.0,800.0,22.0,0.5,-0.3537234512236247,2
50.0,800.0,22.0,0.5,2.2837880570613036,2
100.0,800.0,22.0,0.5,4.6533342274689975,2
200.0,800.0,22.0,0.5,8.613453204238754,2
300.0,800.0,22.0,0.5,11.394371925897122,2
400.0,800.0,22.0,0.5,13.236321915907915,2
500.0,800.0,22.0,0.5,14.29851098242662,2
600.0,800.0,22.0,0.5,14.931635707010178,2
800.0,800.0,22.0,0.5,15.815089981318838,2
1000.0,800.0,22.0,0.5,16.38953112237057,2
0.0,800.0,22.0,0.75,-0.243461564516435,1
50.0,800.0,22.0,0.75,2.058518740719226,1
100.0,800.0,22.0,0.75,4.0534621127010535,1
200.0,800.0,22.0,0.75,7.420914463986217,1
300.0,800.0,22.0,0.75,9.72886320900392,1
400.0,800.0,22.0,0.75,11.449016369681056,1
500.0,800.0,22.0,0.75,12.273463426802529,1
600.0,800.0,22.0,0.75,12.876102628233951,1
800.0,800.0,22.0,0.75,13.73428828429684,1
1000.0,800.0,22.0,0.75,14.34331500516724,1
0.0,800.0,22.0,0.83,-0.6053312839514977,2
50.0,800.0,22.0,0.83,2.742601907882433,2
100.0,800.0,22.0,0.83,5.5131896578193675,2
200.0,800.0,22.0,0.83,10.497323849493956,2
300.0,800.0,22.0,0.83,13.899106635003871,2
400.0,800.0,22.0,0.83,15.936120776606051,2
500.0,800.0,22.0,0.83,16.82643471283954,2
600.0,800.0,22.0,0.83,17.277561650724127,2
800.0,800.0,22.0,0.83,17.78982890393622,2
1000.0,800.0,22.0,0.83,17.863779075914636,2
0.0,800.0,22.0,0.88,-0.4494053519612492,2
50.0,800.0,22.0,0.88,2.6931745076012175,2
100.0,800.0,22.0,0.88,5.810584593997298,2
200.0,800.0,22.0,0.88,11.109427966686646,2
300.0,800.0,22.0,0.88,15.056717844724067,2
400.0,800.0,22.0,0.88,17.347238986550707,2
500.0,800.0,22.0,0.88,18.65544657636731,2
600.0,800.0,22.0,0.88,19.39382129247398,2
800.0,800.0,22.0,0.88,19.993908852199265,2
1000.0,800.0,22.0,0.88,20.112636768410493,2
