Solar_Vol,PPFD,CO2,T,R:B,Pn_avg,count
0.818815,50.0,400.0,30.0,1.0,1.935396149563532,1
0.999241,100.0,400.0,30.0,1.0,4.4829926685230745,1
1.257945,200.0,400.0,30.0,1.0,7.757619754844041,1
1.420129,300.0,400.0,30.0,1.0,9.766378586861372,1
1.566589,400.0,400.0,30.0,1.0,11.01979304421566,1
1.670568,500.0,400.0,30.0,1.0,11.577121822540756,1
0.0,0.0,800.0,18.0,0.5,-0.4282017269967348,1
0.839616,50.0,800.0,18.0,0.5,2.566853748840154,1
1.040044,100.0,800.0,18.0,0.5,5.017975817902984,1
1.278819,200.0,800.0,18.0,0.5,8.534685272242216,1
1.450362,300.0,800.0,18.0,0.5,10.683089612359964,1
1.586366,400.0,800.0,18.0,0.5,11.851243855643895,1
1.686494,500.0,800.0,18.0,0.5,12.469659942664077,1
0.0,0.0,800.0,18.0,0.75,-0.3455008825009637,3
0.827675,50.0,800.0,18.0,0.75,2.554371094157074,3
1.017454,100.0,800.0,18.0,0.75,4.813409124884294,3
1.270912,200.0,800.0,18.0,0.75,8.627677554286675,3
1.438591,300.0,800.0,18.0,0.75,10.85206072147854,3
1.569479,400.0,800.0,18.0,0.75,11.952230287113906,3
1.670269,500.0,800.0,18.0,0.75,12.359452942184271,3
1.777072,600.0,800.0,18.0,0.75,12.641014471493174,3
0.0,0.0,800.0,18.0,0.83,-0.3440840686653601,3
1.017639,100.0,800.0,18.0,0.83,5.456638732939058,3
1.275173,200.0,800.0,18.0,0.83,10.321423598666636,3
1.428204,300.0,800.0,18.0,0.83,13.449405496133188,3
1.562632,400.0,800.0,18.0,0.83,14.883354890905249,3
1.665951,500.0,800.0,18.0,0.83,15.47362512389008,3
1.783429,600.0,800.0,18.0,0.83,15.85083627345197,3
0.0,0.0,800.0,18.0,0.88,-0.2910557173128784,1
1.272704,200.0,800.0,18.0,0.88,10.4915409429653,1
1.425779,300.0,800.0,18.0,0.88,12.9231355661688,1
1.56309,400.0,800.0,18.0,0.88,13.798048772766345,1
1.680056,500.0,800.0,18.0,0.88,14.449520458800976,1
1.781374,600.0,800.0,18.0,0.88,15.114147535860685,1
0.0,0.0,800.0,18.0,1.0,-0.2157877182415647,1
0.818815,50.0,800.0,18.0,1.0,2.993929137983109,1
0.999241,100.0,800.0,18.0,1.0,5.92500961484878,1
1.257945,200.0,800.0,18.0,1.0,10.27983928749412,1
1.420129,300.0,800.0,18.0,1.0,12.504995738417632,1
1.566589,400.0,800.0,18.0,1.0,13.620803709950184,1
1.670568,500.0,800.0,18.0,1.0,14.215163120682384,1
0.0,0.0,800.0,20.0,0.5,-0.4274753556531128,3
0.839616,50.0,800.0,20.0,0.5,2.3484554746380737,3
1.040044,100.0,800.0,20.0,0.5,4.564733087796508,3
1.278819,200.0,800.0,20.0,0.5,8.400372190885845,3
1.450362,300.0,800.0,20.0,0.5,11.039791828908244,3
1.586366,400.0,800.0,20.0,0.5,12.77854016893447,3
1.686494,500.0,800.0,20.0,0.5,13.770955947820935,3
0.0,0.0,800.0,20.0,0.75,-0.3374958151908551,1
0.827675,50.0,800.0,20.0,0.75,2.564356853749517,1
1.017454,100.0,800.0,20.0,0.75,5.137613262242049,1
1.270912,200.0,800.0,20.0,0.75,9.349587629347509,1
1.438591,300.0,800.0,20.0,0.75,11.934554403106429,1
1.569479,400.0,800.0,20.0,0.75,13.264224444450669,1
1.670269,500.0,800.0,20.0,0.75,14.126415517271637,1
1.777072,600.0,800.0,20.0,0.75,14.79315841371512,1
0.0,0.0,800.0,20.0,0.83,-0.290882148799784,2
1.017639,100.0,800.0,20.0,0.83,5.334314073100931,2
1.275173,200.0,800.0,20.0,0.83,10.034840610961702,2
1.428204,300.0,800.0,20.0,0.83,13.349515578644969,2
1.562632,400.0,800.0,20.0,0.83,15.051620042859572,2
1.665951,500.0,800.0,20.0,0.83,16.196431375781337,2
1.783429,600.0,800.0,20.0,0.83,16.998220808743184,2
0.0,0.0,800.0,20.0,0.88,-0.2540820651653227,1
1.272704,200.0,800.0,20.0,0.88,11.194265785662015,1
1.425779,300.0,800.0,20.0,0.88,14.273382989678982,1
1.56309,400.0,800.0,20.0,0.88,15.771324167223248,1
1.680056,500.0,800.0,20.0,0.88,16.19908936212872,1
1.781374,600.0,800.0,20.0,0.88,16.700882654279216,1
0.0,0.0,800.0,20.0,1.0,-0.1941626567538406,1
0.818815,50.0,800.0,20.0,1.0,2.9574689947703123,1
0.999241,100.0,800.0,20.0,1.0,5.892468559883222,1
1.257945,200.0,800.0,20.0,1.0,10.624258556252729,1
1.420129,300.0,800.0,20.0,1.0,13.601996056687929,1
1.566589,400.0,800.0,20.0,1.0,14.840544227655428,1
1.670568,500.0,800.0,20.0,1.0,15.668432911306413,1
0.0,0.0,800.0,22.0,0.5,-0.3537234512236247,2
0.839616,50.0,800.0,22.0,0.5,2.2837880570613036,2
1.040044,100.0,800.0,22.0,0.5,4.6533342274689975,2
1.278819,200.0,800.0,22.0,0.5,8.613453204238754,2
1.450362,300.0,800.0,22.0,0.5,11.394371925897122,2
1.586366,400.0,800.0,22.0,0.5,13.236321915907917,2
1.686494,500.0,800.0,22.0,0.5,14.29851098242662,2
0.0,0.0,800.0,22.0,0.75,-0.243461564516435,1
0.827675,50.0,800.0,22.0,0.75,2.058518740719226,1
1.017454,100.0,800.0,22.0,0.75,4.0534621127010535,1
1.270912,200.0,800.0,22.0,0.75,7.420914463986217,1
1.438591,300.0,800.0,22.0,0.75,9.72886320900392,1
1.569479,400.0,800.0,22.0,0.75,11.449016369681056,1
1.670269,500.0,800.0,22.0,0.75,12.273463426802529,1
1.777072,600.0,800.0,22.0,0.75,12.876102628233951,1
0.0,0.0,800.0,22.0,0.83,-0.6053312839514977,2
1.017639,100.0,800.0,22.0,0.83,5.5131896578193675,2
1.275173,200.0,800.0,22.0,0.83,10.497323849493956,2
1.428204,300.0,800.0,22.0,0.83,13.899106635003871,2
1.562632,400.0,800.0,22.0,0.83,15.936120776606051,2
1.665951,500.0,800.0,22.0,0.83,16.82643471283954,2
1.783429,600.0,800.0,22.0,0.83,17.277561650724127,2
0.0,0.0,800.0,22.0,0.88,-0.4494053519612492,2
1.272704,200.0,800.0,22.0,0.88,11.109427966686646,2
1.425779,300.0,800.0,22.0,0.88,15.056717844724067,2
1.56309,400.0,800.0,22.0,0.88,17.347238986550707,2
1.680056,500.0,800.0,22.0,0.88,18.65544657636731,2
1.781374,600.0,800.0,22.0,0.88,19.39382129247398,2
0.0,0.0,800.0,22.0,1.0,-0.4834271529600448,4
0.818815,50.0,800.0,22.0,1.0,2.927127761488733,4
0.999241,100.0,800.0,22.0,1.0,5.916597091774547,4
1.257945,200.0,800.0,22.0,1.0,10.55342490966327,4
1.420129,300.0,800.0,22.0,1.0,13.763997448881682,4
1.566589,400.0,800.0,22.0,1.0,15.69046753793926,4
1.670568,500.0,800.0,22.0,1.0,16.8326877031487,4
0.0,0.0,800.0,24.0,0.5,-0.5711789176295836,1
0.839616,50.0,800.0,24.0,0.5,2.376239853235634,1
1.040044,100.0,800.0,24.0,0.5,5.138574386992663,1
1.278819,200.0,800.0,24.0,0.5,9.864295520746008,1
1.450362,300.0,800.0,24.0,0.5,13.376907324937232,1
